"","SBL","PROB","RiskLevel"
"1","04628000010020000000",0.0124916779846084,"Low"
"2","04628000010030000000",0.0328880938254579,"Low"
"3","04628000010040000000",0.07062480312067,"Mid"
"4","04628000010050040000",0.00237152905060519,"Low"
"5","04628000010050050000",0.00237152905060519,"Low"
"6","04628000010050060000",0.00244023532712321,"Low"
"7","04628000010050070000",0.00259940990732908,"Low"
"8","04628000010050080000",0.0029122221291086,"Low"
"9","04628000010050090000",0.00297110630533734,"Low"
"10","04628000010050100000",0.00332849909082181,"Low"
"11","04628000010050110000",0.00831850552081404,"Low"
"12","04628000010050120000",0.00873231991375879,"Low"
"13","04628000010050130000",0.00353113352989855,"Low"
"14","04628000010050140000",0.00395562442395245,"Low"
"15","04628000010050150000",0.00395562442395245,"Low"
"16","04628000010050160000",0.00353113352989855,"Low"
"17","04628000010050170000",0.00395562442395245,"Low"
"18","04628000010050180000",0.0147977146289285,"Low"
"19","04628000010050190000",0.0074293118773745,"Low"
"20","04628000010050200000",0.00332849909082181,"Low"
"21","04628000010050210000",0.00273422651037153,"Low"
"22","04628000010050220000",0.00212714978764131,"Low"
"23","04628000010050230000",0.0029122221291086,"Low"
"24","04628000010050240000",0.00244023532712321,"Low"
"25","04628000010050250000",0.00194778067205322,"Low"
"26","04628000010050260000",0.00173196272689157,"Low"
"27","04628000010050270000",0.00363174641946773,"Low"
"28","04628000010050280000",0.00131790807830861,"Low"
"29","04628000010050310000",0.00195135631152371,"Low"
"30","04628000010050320000",0.00483837112601482,"Low"
"31","04628000010050330000",0.00131265023990888,"Low"
"32","04628000010050340000",0.00224864682504635,"Low"
"33","04628000010050370000",0.0021166713206245,"Low"
"34","04628000010050380000",0.00237152905060519,"Low"
"35","04628000010050390000",0.0021166713206245,"Low"
"36","04628000010050400000",0.00126400293084262,"Low"
"37","04628000010050410000",0.00324189880094327,"Low"
"38","04684000010010000000",0.0097309879177492,"Low"
"39","04684000010030000000",0.011951178332869,"Low"
"40","04684000010040000000",0.0215892715376804,"Low"
"41","04684000010050000000",0.00972511854890935,"Low"
"42","04684000010060000000",0.0102252082196175,"Low"
"43","04684000010070000000",0.0252492822648715,"Low"
"44","04684000010080000000",0.00710266470036815,"Low"
"45","04684000010100000000",0.0138428839531756,"Low"
"46","04684000010110000000",0.00563363765915635,"Low"
"47","04684000010120000000",0.018823464109979,"Low"
"48","04684000010130000000",0.011661038479609,"Low"
"49","04684000010140000000",0.0118964623171286,"Low"
"50","04684000010150000000",0.0095706262448627,"Low"
"51","04684000010160010000",0.00960943458867429,"Low"
"52","04684000010170010000",0.0066364661166934,"Low"
"53","04684000010180010000",0.00803086281669469,"Low"
"54","04684000010190010000",0.00684668616114371,"Low"
"55","04684000010190020000",0.000587477027123213,"Low"
"56","04684000010190030000",0.00566234394397163,"Low"
"57","04684000010190040000",0.0107986667680073,"Low"
"58","04684000010190050000",0.00180841440334828,"Low"
"59","04684000010190060000",0.00166281075861146,"Low"
"60","04684000010190070000",0.00291367890164212,"Low"
"61","04684000010190080000",0.00151676627139384,"Low"
"62","04684000010190090000",0.0026417766517995,"Low"
"63","04684000010190100000",0.00538326635700267,"Low"
"64","04684000010190110000",0.00252653928183167,"Low"
"65","04684000010190120000",0.00619783543138878,"Low"
"66","04684000010190130000",0.00574179030791179,"Low"
"67","04684000010190140000",0.00275049676916248,"Low"
"68","04684000010190150000",0.00335061821599113,"Low"
"69","04684000010190160000",0.00402023266403956,"Low"
"70","04684000010190170000",0.00220004161540313,"Low"
"71","04684000010190180000",0.00250682023815352,"Low"
"72","04684000010190190000",0.00470304393679961,"Low"
"73","04684000010190200000",0.00410776129111313,"Low"
"74","04684000010190210000",0.00454873831849888,"Low"
"75","04684000010190220000",0.00468702385079155,"Low"
"76","04721000010390000000",0.000235065709598189,"Low"
"77","04721000010400000000",0.00605951557634165,"Low"
"78","04721000010410000000",0.15961900777697,"High"
"79","04721000010420000000",0.0406630452140378,"Low"
"80","04721000010430000000",0.00234788551636067,"Low"
"81","04721000010440000000",0.0214329270412605,"Low"
"82","04721000010450000000",0.0150049594834065,"Low"
"83","04721000010460000000",0.000196813759014327,"Low"
"84","04721000010470000000",0.00752112018070738,"Low"
"85","04721000010480000000",0.00508081382415764,"Low"
"86","04721000010490000000",0.0238702337520923,"Low"
"87","04721000010500000000",0.00287336651256192,"Low"
"88","04721000010510000000",0.000205772585886222,"Low"
"89","04721000010530000000",0.00895483067264867,"Low"
"90","04721000010540000000",0.00797326583137353,"Low"
"91","04721000010550000000",0.0169018083612221,"Low"
"92","04721000010560010000",0.00775786907710959,"Low"
"93","04721000010580020000",0.0611900366478664,"Mid"
"94","04721000010590000000",0.0406775171001807,"Low"
"95","04721000010600000000",0.0356406382914621,"Low"
"96","04721000010610000000",0.0552921732576054,"Mid"
"97","04721000010620000000",0.0224601675517752,"Low"
"98","04721000010640000000",0.0318787689201912,"Low"
"99","04721000010650020000",0.0138748676363693,"Low"
"100","04721000010670000000",0.0066388828998006,"Low"
"101","04721000010680000000",0.00877148540101982,"Low"
"102","04721000010700000000",0.0116031216725293,"Low"
"103","04721000010710000000",0.010022577961987,"Low"
"104","04729000010010000000",0.0677690683077311,"Mid"
"105","04729000010020000000",0.0200104320698871,"Low"
"106","04729000010040000000",0.0154614431698616,"Low"
"107","04729000010050000000",0.0105462397406384,"Low"
"108","04729000010070010000",0.0150706955584512,"Low"
"109","04729000010080000000",0.0143326572199261,"Low"
"110","04729000010090000000",0.0109449916322522,"Low"
"111","04729000010100000000",0.0115417714831448,"Low"
"112","04729000010110000000",0.0164285488049865,"Low"
"113","04729000010120000000",0.0164285488049865,"Low"
"114","04729000010130000000",0.00363198714055934,"Low"
"115","04729000010140000000",0.0163496453106685,"Low"
"116","04729000010150000000",0.00920701516961998,"Low"
"117","04729000010160000000",0.00878414850979719,"Low"
"118","04729000010170000000",0.0115748936462676,"Low"
"119","04729000010180000000",0.00863292722050524,"Low"
"120","04729000010190000000",0.0150665332944957,"Low"
"121","04729000010200000000",0.00517996774843779,"Low"
"122","04729000010210000000",0.0123608534770895,"Low"
"123","04729000010220040000",0.0455311574706131,"Low"
"124","04729000010230000000",0.0375564447140833,"Low"
"125","04729000010240000000",0.0286109755518636,"Low"
"126","04729000010250000000",0.0250510649721821,"Low"
"127","04729000010260000000",0.0186685953872324,"Low"
"128","04729000010270000000",0.0289626837284235,"Low"
"129","04729000010280000000",0.0356214645404374,"Low"
"130","04729000010290000000",0.0339679054021128,"Low"
"131","04729000010300000000",0.00735335927742067,"Low"
"132","04729000010310000000",0.0186604041998869,"Low"
"133","04729000010320000000",0.0119895596029052,"Low"
"134","04729000010330000000",0.0882722408749513,"Mid"
"135","04729000010340000000",0.0481011754948623,"Low"
"136","04729000010360020000",0.188238227109575,"High"
"137","04729000010360040000",0.0833162772410159,"Mid"
"138","04729000010500000000",0.019159821874403,"Low"
"139","04729000010510000000",0.0318454606246748,"Low"
"140","04729000010710000000",0.00738148156332768,"Low"
"141","04729000010730010000",0.00801043178146359,"Low"
"142","04729000010760030000",0.0124273707178736,"Low"
"143","04729000010770000000",0.010701308408696,"Low"
"144","04729000010780000000",0.0153962248800695,"Low"
"145","04729000010790000000",0.0083859574163482,"Low"
"146","04729000010800010000",0.0153120794189071,"Low"
"147","04729000010810000000",0.00639334447948238,"Low"
"148","04729000010820000000",0.0103188221422019,"Low"
"149","04729000010830020000",0.000524852314934604,"Low"
"150","04729000010840000000",0.00971225310542564,"Low"
"151","04729000010850000000",0.0132997266812182,"Low"
"152","04729000010860000000",0.0140837130549859,"Low"
"153","04729000010870000000",0.0110832875897643,"Low"
"154","04729000010880000000",0.00615626780525336,"Low"
